dosen,judul,abstrak,keyword
", Nurgiyatna, S.T., M.Sc., Ph.D",Sistem Informasi Penjualan Sepeda Motor Bekas di Dealer Sinar Maju Motor Purwodadi,"Used motorcycles are still the choice for some consumers. The number of used motorcycle dealers shows that the business still exists. Along Diponegoro Street, Purwodadi, Grobogan, there are several used motorcycle dealers, one of which is Sinar Maju Motor. Unfortunately, the dealer has not fully utilized computerized technology in the process of buying and selling motorcycles. Although the Microsoft Excel application has been used, but the application was used only to record motorcycle details. Each motor that comes and sells was only recorded through a manual recording process in the company's ledger, so the risk of data input errors is shown. Therefore, the researcher concluded that there is a need for a sales information system that is expected to be able to minimize all forms of errors and to monitor sales traffic at Sinar Maju Motor dealer. This system is made only for administrator. Menu options that are carried in the information system are in the form of a homepage, motorcycle stock data, supplier data, transaction data that includes buying and selling, as well as reports for buying and selling. The information system was designed using the Hypertext Preprocessor (PHP) programming language and MySQL database as well as through the Waterfall method. To test the system, the Black Box approach and User Acceptance Test were used. This system can manage motorcycle data, suppliers, purchases and sales of motorcycles with input motor data then processed into output reports on purchases, sales, and sales invoices. The results of testing this system showed that 90.2% of respondents received this system well and it can be concluded that this system has met the criteria in accordance with the objectives of software design.","Dealer, Motor bekas, Sistem informasi penjualan, User Acceptance Test,  Waterfall."
", Nurgiyatna, S.T., M.Sc., Ph.D",Sistem Informasi E-Commerce Gulderose Bunga Flanel Kendal,"Gulderose Bunga Flanel is a home-based business run by a 25-year-old creative young woman with one child using flannel fabric that has been in business for more than 2 years. At present it has produced various products including bouquets, wall decor, paper flower backdrop, flower boxes and decorative ornamental rental services. All this time, the sales system has prioritized social media namely instagram and whatsapp but the intensity is still limited so that it cannot manage other data that supports its sales. This results in less effective management and sale of products that makes business owners experience difficulties and on the buyer side will spend a lot of time to choose products that they want and can not make purchases outside working hours. This study aims to build an e-commerce information system that is able to provide convenience and comfort to business owners and buyers as well as implementing a framework codeigniter and library ion auth as authentication and api rajaongkir to check shipping costs. The method used in the development of this system is the waterfall method. Based on the results of black box testing and user testing, this system is in line with expectations with 90.2% acceptance from users who have tested the system so that it can support the business processes in it.","codeigniter, e-commerce, ion auth, penjualan, sistem informasi"
", Nurgiyatna, S.T., M.Sc., Ph.D",Sistem Informasi Manajemen Penjualan Toko Pertanian Sahabat Tani,"Sahabat Tani Farm Shop is a small-scale business that provides agricultural needs such as fertilizer, medicines, spare parts for agricultural equipment and many other products. Administrative management is very necessary for business purposes, recording purchase and sales transactions and reporting. The management of Sahabat Tani Farm Shop administration is still done manually with written records in the administration book. Improving administration is less effective because it requires a lot of time in recording transactions or reporting. The purpose of this study is to develop a sales management information system at the Sahabat Tani Farm Shop to help and facilitate shop owners in managing sales. This system development method uses the waterfall method consisting of requirements analysis, design, coding, testing, application. The system development uses several software, for example PHP, MySql, Visual Code Studio, CSS, Javascript, Ajax, and CodeIgniter. The research objective has been completed by producing a Sahabat Tani Agricultural Sales Management Information System, all of which menu is well in accordance with the designed objectives. Based on testing, an average value of 73.25 can be obtained which reflects the classification that can be accepted or accepted by the user.","codeigniter, manajemen penjualan, sistem informasi, toko pertanian"
", Nurgiyatna, S.T., M.Sc., Ph.D",Sistem Informasi Profil Perusahaan Dan Monitoring Proyek PT. Virama Karya Cabang Semarang Berbasis Web,"PT. Virama Karya (Persero) branch office Semarang is one of Badan Usaha Milik Negara (BUMN) working in the field of technical and management consulting. Technical sectors undertaken by this company, such as agriculture, transportation, spatial planning, irrigation and specialty. PT. Virama Karya branch office Semarang has completed various projects related to its field. Monitoring is an important activity in the implementation of a project because if monitoring is not carried out with seriousness and correct calculations it can cause time and financial losses. So far, project monitoring is still done manually by contacting each person in charge of the project one by one so it is not quite effective. Information about companies is also still difficult to obtain for individuals or groups who have an interest in the company and want to obtain company information. The purpose of making this system is so that companies can get information about project developments and the general public can get information about the company. The result achieved is a webbased information system that has menus such as company details, portfolio reports, news, contacts, and project monitoring that displays the progress of each project and the system has been running according to its function based on the results of the usability questionnaire test.","profil perusahaan, monitoring proyek, web"
", Nurgiyatna, S.T., M.Sc., Ph.D",Sistem Informasi Penjualan Handphone Berbasis Web Pada Tiara Cell Panekan,"Tiara Cell is a store that sells mobile phones, accessories and pulses located on Jl. Raya Panekan RT 05 / RW 01 Magetan Regency, East Java 63352. The sales process and transactions conducted by the store are still using the manual transaction model that is the customer directly sees the collections available in the store and then conducts transactions. Such a process is still felt to have shortcomings that can slow down service processes and transactions to customers and slow down the process of sales data recap made by the store owner. The purpose of this research is to build a web-based mobile sales information system that can provide product and price information to facilitate customers in obtaining information about the product sought, help store owners manage sales data and sales transactions, and can print sales reports automatically. The method applied to build this system is the Waterfall Method. The Waterfall method consists of the requirements analysis, design, coding, testing, and implementation stages. Tools used to build this system are Windows 10 operating system, sublime text editor, XAMPP control panel, CodeIgniter framework, and web browser. The results obtained through this research is to produce a web-based mobile sales information system that has been tested using a black box that this system can run well according to its function, while with an average of 88.5% on the results of the questionnaire test shows that this system also runs according function and can meet user expectations. The results of the questionnaire validation test are all the questions on the questionnaire test are declared valid.","Handphone, Penjualan, Sistem Informasi, Web"
", Nurgiyatna, S.T., M.Sc., Ph.D",Sistem Informasi Arsip Surat Berbasis Website Pada SMA Negeri 2 Sukoharjo,"Surat merupakan salah satu jenis sarana komunikasi penting yang dimanfaatkan oleh SMA Negeri 2 Sukoharjo sebagai penyedia informasi. Pada SMA Negeri 2 Sukoharjo, pengelolaan surat belum dilakukan secara komputerisasi. Proses tersebut akan mengalami kendala seperti kesulitan mencari surat sewaktu-waktu, hilangnya surat dan membutuhkan penyimpanan besar. Adapun tujuan penelitian yaitu membangun sebuah sistem informasi arsip surat berbasis website pada SMA Negeri 2 Sukoharjo. Dalam membangun sistem informasi tersebut, peneliti menggunakan bahasa pemrograman PHP (Hypertext Preprocessor) dengan framework codeigniter. Metode penelitian yang diterapkan meliputi observasi dan wawancara. Metode pengembangan yang digunakan yaitu model waterfall yang mempunyai tahapan secara sistematis berurutan mulai dari analisa kebutuhan hingga perawatan sistem. Penelitian ini menghasilkan beberapa bagian menu untuk menambah data surat, mengubah data surat, mengunggah dokumentasi surat, melakukan pencarian surat dan mencetak laporan yang membantu pengelola dalam aktivitas surat- menyurat. Dalam pengujian terhadap sistem, peneliti menggunakan black box testing dan SUS (System Usability Scale) dengan hasil nilai rata-rata yang diperoleh 83,5. Hal ini membuktikan bahwa sistem informasi tersebut dapat diterapkan pada SMA Negeri 2 Sukoharjo karena memiliki nilai usability acceptable.","arsip, sistem informasi, surat, website"
", Nurgiyatna, S.T., M.Sc., Ph.D","Sistem Informasi Penjualan Pada Cranberrieskopi
Berbasis Web","Cranberrieskopi is a coffee shop business actor that sells various drinks made from
coffee. Apart from selling coffee-based drinks, Cranberrieskopi also provides roasted
beans with robusta and arabica types. Cranberrieskopi in the transaction process still
uses manual methods and marketing is limited to the scope of the Cranberrieskopi
shops located. The purpose of this research is to create a system in the form of a webbased sales information system to assist coffee cranes and consumers in the
transaction process. This research uses the SDLC (System Development Life Cycle)
method with the waterfall model used in designing this information system. The
design stages include planning, modeling, implementing, testing, and maintaining the
system. This research process will produce output in the form of a web-based sales
information system that helps Coffee Coffee Cranes in expanding the product
marketing area, improving service to consumers and helping government efforts to
reduce the spread of Covid-19. Testing with the black box method obtained valid
results with the menus and features contained in the system functioning as expected","Coffee, Pandemic, Information System, Information Technology, Web"
", Dr. Heru Supriyono, M.Sc.",Perencanaan Jaringan Local Area Network Di Gedung Dakwah Muhammadiyah Kabupaten Sragen Dengan Cisco Packet Tracer,"Perkembangan teknologi jaringan komputer sebagai media komunikasi dan pertukaran data saat ini semakin berkembang pesat serta luas sekali cakupannya. Jaringan komputer Gedung Dakwah Muhammadiyah Sragen merupakan tempat dimana jaringan komputer lokal, nirkabel dan internet dijalankan dengan sistem yang masih sederhana. Dikarenakan masih kurang efektif dalam pengelolaan dan penggunaannya, maka akan dilakukan routing untuk membagi penggunaan jaringan komputer dalam gedung. Jaringan LAN tidak hanya terbatas pada komputer yang ada di lantai 1, tapi juga akan dirangkai sampai lantai 2. Jaringan tersebut akan melakukan pembagian network antara jaringan LAN maupun jaringan nirkabel. Layanan internet dari ISP yang masuk ke perangkat jaringan melalui kabel dan sinyal nirkabel akan berada di network yang berbeda. Perancangan jaringan komputer tersebut diharap bisa meningkatkan keefektifan dan efisiensi pengelolaan administrasi pada lembaga, majelis maupun organisasi otonom di dalamnya. Kecepatan akses internet akan di tingkatkan dan jaringan komputer diperluas dengan menghubungkan seluruh client di lantai 1 dan lantai 2 dengan menambahkan switch, kabel UTP dan router. Semuanya akan disimulasikan dengan Cisco Packet Tracer. Pengumpulan data dilakukan dengan obervasi, wawancara dan studi pustaka. Perancangan jaringan komputer akan disimulasikan dengan cisco packet tracer sesuai data yang didapatkan di lapangan. Jaringan tersebut dirancang dengan maksud mengatasi masalah-masalah dari jaringan komputer saat ini, dari koneksi jaringan komputer yang belum menyebar ke seluruh ruang Majelis dan organisasi otonom, sampai konfigurasi jaringan nirkabel yang belum teratur. Perancangan juga dibuat sederhana untuk memberikan kemudahan dalam melakukan troubleshooting.","Cisco Packet Tracer, Jaringan Nirkabel, LAN, Routing, Topologi Star"
", Azizah Fatmawati, ST., M.Cs",Sistem Informasi Keuangan Pada Panti Asuhan Yatim Putri Aisyiyah II Berbasis Web,"Finance is very important for companies and companies in doing business. Yatim Putri Aisyiyah II Orphanage Kadipiro is one of the Surakarta Aisyiyah business charities that has an important role for the community inside and outside the orphanage. The financial management process of Yatim Putri Aisyiyah II Orphanage found problems including the process of recording and making reports on the financial section using a manual system. A manual system causes many errors and also requires a long time. This research aims to develop a web-based financial information system. The system development method used is the Waterfall method including requirements analysis, system design, implementation, testing and system maintenance. The development of this system uses the PHP programming language, MySQL database and CodeIgniter framework. The results of this study are systems that can be used to process data and financial data reports. Based on the results of black box testing, the system developed can run according to its function.","aisyiyah, keuangan, sistem informasi"
", Azizah Fatmawati, ST., M.Cs",Media Pembelajaran Ilmu Pengetahuan Alam Kelas 4 Sekolah Dasar,"Science is a compulsory subject in every public school and in its delivery does not only require theory and material but must also be equipped with practices outside the classroom to better support student education. Often students feel bored when studying in class and also there are still many schools that do not have the qualified facilities to do hands-on practice. These problems can be overcome by modifying the monotonous learning system to become more interesting. This research aims to develop of Science learning media for 4th grade elementary school. The development method used is the waterfall method which has several stages starting from the analysis of software, making programming code and implementation code, testing the software and then ending with maintenance the software. For developing the software used is the Costruct 2 because it is considered more simple and easy to use. The result of this study are in the form of natural science learning media that can increase student interest in learning because of its interesting delivery. Based on the results of black box testing, the system developed is already running well.","Ilmu Pengetahuan Alam, Media pembelajaran, Sekolah dasar"
